球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
詹姆斯-哈登,17-18,胜,森林狼102-120火箭,1,34,32.00%,8,25,30.00%,3,10,100.00%,12,12,2,0,2,9,2,0,4,2,31
詹姆斯-哈登,17-18,胜,国王91-100火箭,1,35,36.80%,7,19,33.30%,5,15,81.80%,9,11,9,0,9,9,2,1,6,2,28
詹姆斯-哈登,17-18,胜,森林狼108-126火箭,1,36,50.00%,10,20,60.00%,6,10,88.90%,8,9,6,0,6,13,0,1,1,2,34
詹姆斯-哈登,17-18,胜,独行侠97-104火箭,1,34,31.60%,6,19,30.80%,4,13,91.70%,11,12,6,0,6,5,2,1,3,1,27
詹姆斯-哈登,17-18,胜,掘金104-130火箭,1,27,43.80%,7,16,45.50%,5,11,81.80%,9,11,7,1,6,11,0,0,5,2,28
詹姆斯-哈登,17-18,胜,热火101-109火箭,1,36,52.00%,13,25,41.70%,5,12,83.30%,10,12,4,0,4,6,3,1,4,2,41
詹姆斯-哈登,17-18,胜,篮网113-123火箭,1,34,47.80%,11,23,40.00%,4,10,100.00%,10,10,4,0,4,5,0,1,2,4,36
詹姆斯-哈登,17-18,胜,骑士88-120火箭,1,31,31.30%,5,16,9.10%,1,11,100.00%,5,5,6,0,6,9,2,0,4,2,16
詹姆斯-哈登,17-18,胜,马刺91-102火箭,1,37,50.00%,10,20,41.70%,5,12,100.00%,3,3,2,0,2,11,1,2,3,1,28
詹姆斯-哈登,17-18,胜,魔术107-114火箭,1,46,63.30%,19,30,35.70%,5,14,94.40%,17,18,10,2,8,11,4,1,5,2,60
詹姆斯-哈登,17-18,胜,太阳102-113火箭,1,38,38.10%,8,21,27.30%,3,11,66.70%,8,12,10,3,7,8,2,1,6,1,27
詹姆斯-哈登,17-18,负,鹈鹕115-113火箭,1,34,31.30%,5,16,11.10%,1,9,85.70%,12,14,5,0,5,11,2,1,4,4,23
詹姆斯-哈登,17-18,胜,独行侠97-104火箭,1,33,56.30%,9,16,60.00%,6,10,50.00%,1,2,5,1,4,13,1,1,1,1,25
詹姆斯-哈登,17-18,胜,热火90-99火箭,1,35,38.50%,10,26,38.50%,5,13,75.00%,3,4,2,0,2,5,2,2,6,2,28
詹姆斯-哈登,17-18,胜,勇士108-116火箭,1,35,50.00%,8,16,55.60%,5,9,50.00%,1,2,2,0,2,8,2,2,6,1,22
詹姆斯-哈登,17-18,胜,森林狼98-116火箭,1,26,20.00%,3,15,20.00%,1,5,100.00%,3,3,2,1,1,7,2,2,2,1,10
詹姆斯-哈登,17-18,胜,湖人142-148火箭,1,41,50.00%,10,20,37.50%,3,8,81.00%,17,21,2,0,2,11,2,2,1,2,40
詹姆斯-哈登,17-18,负,奇才121-103火箭,1,29,50.00%,7,14,25.00%,1,4,83.30%,5,6,1,1,0,4,1,1,5,1,20
詹姆斯-哈登,17-18,负,凯尔特99-98火箭,1,39,25.90%,7,27,33.30%,5,15,100.00%,15,15,6,0,6,10,2,0,8,4,34
詹姆斯-哈登,17-18,负,雷霆112-107火箭,1,39,38.90%,7,18,27.30%,3,11,85.70%,12,14,8,1,7,14,2,1,1,0,29
詹姆斯-哈登,17-18,负,快船128-118火箭,1,41,53.60%,15,28,42.90%,6,14,93.80%,15,16,4,0,4,8,3,0,8,6,51
詹姆斯-哈登,17-18,负,湖人122-116火箭,1,43,55.60%,15,27,66.70%,4,6,81.00%,17,21,3,0,3,9,1,1,6,5,51
詹姆斯-哈登,17-18,胜,爵士99-120火箭,1,38,35.30%,6,17,33.30%,4,12,100.00%,10,10,6,0,6,6,2,1,5,2,26
詹姆斯-哈登,17-18,胜,雄鹿111-115火箭,1,39,38.10%,8,21,40.00%,4,10,78.60%,11,14,6,0,6,5,0,1,3,4,31
詹姆斯-哈登,17-18,胜,马刺109-124火箭,1,33,33.30%,6,18,18.20%,2,11,87.50%,14,16,7,0,7,6,2,1,5,2,28
詹姆斯-哈登,17-18,胜,黄蜂96-108火箭,1,31,36.40%,8,22,30.00%,3,10,100.00%,2,2,4,0,4,8,1,1,3,3,21
詹姆斯-哈登,17-18,胜,鹈鹕123-130火箭,1,35,50.00%,8,16,40.00%,4,10,66.70%,6,9,1,0,1,17,6,0,3,3,26
詹姆斯-哈登,17-18,胜,开拓者117-124火箭,1,37,55.20%,16,29,57.10%,4,7,85.70%,12,14,8,1,7,3,3,0,2,2,48
詹姆斯-哈登,17-18,胜,爵士101-112火箭,1,35,42.10%,8,19,33.30%,4,12,100.00%,9,9,6,0,6,3,1,0,3,2,29
詹姆斯-哈登,17-18,胜,湖人95-118火箭,1,35,59.10%,13,22,44.40%,4,9,85.70%,6,7,4,1,3,9,2,0,4,3,36
詹姆斯-哈登,17-18,胜,步行者97-118火箭,1,35,36.40%,8,22,33.30%,4,12,100.00%,9,9,8,2,6,10,1,0,1,2,29
詹姆斯-哈登,17-18,胜,篮网103-117火箭,1,36,65.00%,13,20,61.50%,8,13,75.00%,3,4,10,0,10,8,2,2,4,2,37
詹姆斯-哈登,17-18,胜,尼克斯102-117火箭,1,37,44.40%,12,27,38.50%,5,13,80.00%,8,10,2,0,2,10,3,0,1,1,37
詹姆斯-哈登,17-18,胜,掘金95-125火箭,1,32,37.50%,6,16,14.30%,1,7,88.90%,8,9,8,1,7,9,0,0,7,1,21
詹姆斯-哈登,17-18,胜,灰熊83-105火箭,1,36,45.00%,9,20,50.00%,6,12,100.00%,5,5,5,0,5,7,3,0,3,3,29
詹姆斯-哈登,17-18,胜,太阳116-142火箭,1,35,54.50%,12,22,54.50%,6,11,100.00%,18,18,2,0,2,7,2,1,5,3,48
詹姆斯-哈登,17-18,负,猛龙129-113火箭,1,39,32.00%,8,25,27.30%,3,11,100.00%,19,19,6,1,5,11,0,1,9,5,38
詹姆斯-哈登,17-18,胜,步行者95-118火箭,1,34,42.90%,9,21,25.00%,3,12,100.00%,5,5,5,0,5,15,2,0,3,1,26
詹姆斯-哈登,17-18,胜,灰熊96-111火箭,1,38,44.00%,11,25,42.90%,6,14,71.40%,10,14,4,0,4,8,0,1,3,3,38
詹姆斯-哈登,17-18,胜,骑士113-117火箭,1,43,38.10%,8,21,42.90%,6,14,92.90%,13,14,11,1,10,13,5,1,5,4,35
詹姆斯-哈登,17-18,胜,爵士110-137火箭,1,35,76.00%,19,25,87.50%,7,8,91.70%,11,12,2,0,2,13,2,0,7,3,56
詹姆斯-哈登,17-18,胜,老鹰104-119火箭,1,31,53.30%,8,15,54.50%,6,11,70.00%,7,10,3,1,2,11,1,0,2,0,29
詹姆斯-哈登,17-18,胜,尼克斯97-119火箭,1,35,39.10%,9,23,35.30%,6,17,77.80%,7,9,5,1,4,9,0,0,7,5,31
詹姆斯-哈登,17-18,负,76人115-107火箭,1,38,38.10%,8,21,42.90%,3,7,83.30%,10,12,4,1,3,7,4,1,7,2,29
詹姆斯-哈登,17-18,负,灰熊103-89火箭,1,34,31.60%,6,19,22.20%,2,9,85.70%,6,7,4,1,3,8,2,0,3,3,20
詹姆斯-哈登,17-18,胜,黄蜂93-109火箭,1,37,44.40%,8,18,40.00%,4,10,87.50%,7,8,10,0,10,11,1,0,5,4,27
詹姆斯-哈登,17-18,胜,76人104-105火箭,1,41,50.00%,10,20,25.00%,2,8,100.00%,5,5,3,0,3,13,1,3,8,1,27
詹姆斯-哈登,17-18,负,灰熊98-90火箭,1,35,40.00%,8,20,25.00%,2,8,50.00%,4,8,5,1,4,8,1,0,7,4,22
詹姆斯-哈登,17-18,胜,独行侠91-107火箭,1,31,52.60%,10,19,46.20%,6,13,75.00%,3,4,3,0,3,7,2,0,5,5,29
詹姆斯-哈登,17-18,胜,国王100-105火箭,1,38,38.10%,8,21,28.60%,4,14,87.50%,7,8,3,2,1,9,2,0,2,1,27
詹姆斯-哈登,17-18,胜,勇士121-122火箭,1,36,43.50%,10,23,44.40%,4,9,75.00%,3,4,6,1,5,11,1,0,3,2,27
詹姆斯-哈登,16-17,胜,森林狼118-123火箭,1,35,61.50%,8,13,50.00%,5,10,75.00%,6,8,10,1,9,12,4,1,4,3,27
