date,station,city,pressure,wind_speed,wind_direction,temperature,humidity,rain20,rain08,cloud,visibility,phenomenon
20130127,201,B,1014.3,4.8,999002,15.9,81,5.6,0,93,5000,"10,60,"
20130127,501,E,791.1,3.9,999009,-5.6,34,0,0,30,25000,"03,"
20130127,502,E,814.8,3,999013,-5.9,45,0,0,25,11000,"03,02,"
20130127,503,E,837.7,4.9,999001,-7.6,42,0,0,10,12000,"03,"
20130127,504,E,853.5,1.7,999005,-3.4,51,0,0,33,7000,"03,02,"
20130128,201,B,1014.5,3.4,999004,16.2,66,0,999990,5,6000,"05,10,01,"
20130128,501,E,787.8,5.7,999007,-3.3,29,0,0,13,20000,"03,"
20130128,502,E,811.2,5.7,999016,-4,40,0,0,35,11000,"03,02,"
20130128,503,E,833.9,3.7,999015,-5.5,36,0,0,50,12000,"03,"
20130128,504,E,849.5,1.5,999005,-1.6,45,0,0,33,9000,"03,02,"
20130129,201,B,1013.9,3.7,999010,18,65,999990,0,53,12000,"60,"
20130129,501,E,787.4,5.6,999007,-2.8,28,0,0,100,25000,"03,"
20130129,502,E,810.7,4.6,999015,-3.8,38,0,0,75,12000,"03,"
20130129,503,E,833.2,3.9,999003,-5,35,0,0,25,12000,"03,"
20130129,504,E,848.9,1.3,999005,-1.6,43,0,0,93,10000,"03,"
20130130,201,B,1014.8,4.5,999004,17.9,70,0,0,33,9000,"10,01,"
20130130,501,E,784.9,4.7,999008,-4,37,0,0,17,25000,"03,"
20130130,502,E,808.1,3.2,999010,-3.5,47,0,0,30,12000,"03,02,"
20130130,503,E,830.7,4.5,999002,-5.4,34,0,0,0,12000,"03,"
20130130,504,E,846.1,1.5,999005,-0.8,47,0,0,7,8000,"03,"
20130131,201,B,1013.8,4,999003,19.4,60,0,0,33,10000,"05,"
20130131,501,E,785.4,6.4,999015,-1.1,34,0,0,33,25000,"03,"
20130131,502,E,808.2,6.2,999015,-1.1,44,0,0,50,20000,"03,"
20130131,503,E,830.8,4.2,999003,-0.6,33,0,0,50,12000,"03,"
20130131,504,E,846.2,2.2,999003,2.4,41,0,0,33,11000,"03,"
20130201,201,B,1012.6,3.8,999004,20.6,65,0,0,5,11000,
20130201,501,E,790,5.2,999008,-3.7,46,0,0,0,20000,"03,02,"
20130201,502,E,813.4,3.1,999007,-2.3,50,0,0,25,25000,"03,02,"
20130201,503,E,836,4.7,999004,-3,43,0,0,10,15000,"03,"
20130201,504,E,851.6,3.2,999003,1.3,44,0,0,33,11000,"03,"
20130202,201,B,1012.1,4.9,999004,21.5,73,0,0,68,13000,"01,"
20130202,501,E,787.6,4.6,999008,-3.8,41,0,0,100,20000,"03,"
20130202,502,E,811,4,999012,-2.5,38,0,0,83,30000,"03,"
20130202,503,E,833.4,4.1,999003,-3.2,35,0,0,40,12000,"03,"
20130202,504,E,849,1.8,999014,0.3,38,0,0,70,15000,"03,"
20130203,201,B,1011.1,4.9,999004,19.8,85,999990,999990,98,13000,
20130203,501,E,783.3,4.9,999007,-0.5,33,0,0,10,25000,"03,"
20130203,502,E,806.4,2.4,999012,-1.2,50,0,0,25,25000,"03,02,"
20130203,503,E,828.7,3.8,999004,-1.2,40,0,0,10,12000,"03,"
20130203,504,E,843.9,1.5,999005,1.7,48,0,0,10,10000,"03,"
20130204,201,B,1011,3,999003,21.7,89,0,0.1,100,6000,
20130204,501,E,783.7,5,999008,-2,36,0,0,60,20000,"03,"
20130204,502,E,806.7,3.7,999012,-1,44,0,0,25,30000,"03,"
20130204,503,E,829,4,999007,-1.3,31,0,0,30,15000,"03,"
