code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
300654,世纪天鸿,0.07,-12.5,3.62,1.98,0.11,496.05,-16.25,,09-05
603363,傲农生物,0.18,,,12.72,0.31,6421.56,,,09-05
002901,大博医疗,0.37,,,21.34,0.3,13167.59,,,09-05
603922,金鸿顺,0.56,,5.84,10.12,0.17,5404.0,,,09-04
600903,贵州燃气,0.13,160.0,3.39,3.84,0.59,8821.16,145.07,,09-04
300801,泰和科技,0.32,,5.28,6.32,0.71,2911.53,,,09-04
600903,贵州燃气,0.13,160.0,3.39,3.84,0.59,8821.16,145.07,,09-04
603183,建研院,0.39,5.41,,7.51,,2551.16,4.96,,09-04
603963,大理药业,0.42,,2.5,16.36,0.33,3117.07,,,09-04
601298,青岛港,0.31,24.0,,,,155046.52,29.17,,09-02
601598,中国外运,,,,,,98760.8,2.12,,09-01
601658,邮储银行,0.33,,,7.46,,2660000.0,,,09-01
603260,合盛硅业,0.92,64.29,,,,55381.27,64.53,,09-01
603055,台华新材,0.42,,3.26,13.57,0.3,20114.88,,,09-01
603659,璞泰来,0.53,,,,,19579.95,,,09-01
000403,派林生物,0.16,0.0,,7.83,,4458.76,5.43,,08-31
600662,外服控股,0.03,-67.98,,0.92,,3000.04,-67.99,,08-31
603359,东珠生态,0.6,15.38,7.74,7.94,0.95,10130.09,14.64,,08-31
600418,江淮汽车,0.18,-53.85,,2.47,,34468.93,-40.31,,08-31
000638,*ST万方,0.02,44.83,,1.16,,520.63,45.67,,08-31
601881,中国银河,0.21,-12.5,,3.38,,211221.23,-6.35,,08-31
600882,妙可蓝多,-0.03,-66.67,,-1.06,,-1219.54,-66.66,,08-31
000792,盐湖股份,-0.19,-205.75,,-2.16,,-52250.26,-258.64,,08-31
000156,华数传媒,0.21,4.17,,3.0,,30778.82,4.2,,08-31
601058,赛轮轮胎,0.01,-88.89,,0.43,,1921.77,-90.76,,08-31
600689,上海三毛,0.17,-300.0,2.35,7.71,,3453.46,-298.65,,08-31
000539,粤电力A,0.02,-82.5,,0.55,,12873.57,-82.56,,08-31
002855,捷荣技术,0.13,-27.78,,2.71,,2676.04,-17.37,,08-31
601619,嘉泽新能,0.05,104.74,,4.27,,9015.12,105.08,,08-31
603399,吉翔股份,0.12,-233.33,,3.19,,6087.55,-228.87,,08-31
000626,远大控股,0.41,-71.29,,8.36,,24713.18,-21.39,10派1.6,08-31
600831,广电网络,0.2,-1.36,,4.13,,11813.98,5.67,,08-31
600166,福田汽车,0.02,-62.0,,0.53,,10162.7,-30.79,,08-31
688981,中芯国际,0.02,,6.85,,,71850.64,581.2,,08-31
603106,恒银科技,0.43,,3.91,11.5,-0.58,8937.02,,,08-31
000951,中国重汽,0.71,195.83,,9.43,,47886.7,198.58,,08-31
601288,农业银行,0.33,3.13,3.93,8.37,1.06,10859300.0,3.28,,08-31
600027,华电国际,-0.02,-107.87,,-0.5,,-21186.0,-108.04,,08-31
000564,ST大集,0.06,29.05,,1.16,,34406.03,929.21,,08-31
600073,上海梅林,0.3,37.5,,8.32,,27882.98,37.39,10派0.9,08-31
600783,鲁信创投,0.25,-39.02,,4.97,,18842.5,-38.82,,08-31
600295,鄂尔多斯,0.16,60.0,,2.29,,16877.36,61.3,,08-31
600372,中航电子,0.08,14.03,,2.34,,14577.4,14.01,,08-31
000976,华铁股份,0.09,70.68,,3.7,,13575.56,91.09,,08-31
600416,湘电股份,0.02,-80.0,,0.31,,1932.8,-73.48,,08-31
